GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shamir-secret-sharing,com.catalog.secretsharing.service,LagrangeInterpolationService.Point,47,15,0,0,11,4,5,1,5,1
shamir-secret-sharing,com.catalog.secretsharing.service,BaseDecoderService,341,4,32,0,65,1,25,1,9,1
shamir-secret-sharing,com.catalog.secretsharing.service,SecretSharingService,100,395,8,14,17,107,8,14,0,11
shamir-secret-sharing,com.catalog.secretsharing.service,LagrangeInterpolationService,499,10,50,0,85,2,33,1,8,1
shamir-secret-sharing,com.catalog.secretsharing.model,SecretResponse.DecodedPoint,195,19,38,0,6,2,32,2,13,2
shamir-secret-sharing,com.catalog.secretsharing.model,SecretResponse.ProcessingMetadata.ProcessingMetadataBuilder,11,35,0,0,0,1,1,6,1,6
shamir-secret-sharing,com.catalog.secretsharing.model,SecretResponse.SecretResponseBuilder,35,86,0,0,0,1,2,13,2,13
shamir-secret-sharing,com.catalog.secretsharing.model,SecretResponse,491,111,102,0,5,30,71,13,20,13
shamir-secret-sharing,com.catalog.secretsharing.model,SecretResponse.ProcessingMetadata,193,22,38,0,5,3,31,3,12,3
shamir-secret-sharing,com.catalog.secretsharing.model,TestCaseInput,218,54,37,1,28,14,31,7,12,7
shamir-secret-sharing,com.catalog.secretsharing.model,SecretResponse.DecodedPoint.DecodedPointBuilder,10,35,0,0,0,1,1,6,1,6
shamir-secret-sharing,com.catalog.secretsharing.model,RootPoint,228,76,44,6,11,18,33,9,9,8
shamir-secret-sharing,com.catalog.secretsharing.model,Keys,132,46,26,6,4,5,23,6,8,5
shamir-secret-sharing,com.catalog.secretsharing.controller,SecretSharingController,490,0,17,0,103,0,20,0,11,0
shamir-secret-sharing,com.catalog.secretsharing,ShamirSecretSharingApplication,45,0,0,0,12,0,2,0,2,0
